GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AH37M001,AH37M002,AH37M003
"G0101130","2013-2017",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",,,526,558,634
"G0101150","2013-2017",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,467,614,473
"G0101170","2013-2017",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",,,695,737,636
"G0101190","2013-2017",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",,,231,199,256
"G0101210","2013-2017",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",,,519,611,509
"G0101230","2013-2017",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",,,431,425,466
"G0101250","2013-2017",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",,,870,834,842
"G0101270","2013-2017",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,575,512,478
"G0101290","2013-2017",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",,,280,276,184
"G0101310","2013-2017",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",,,165,171,186
"G0101330","2013-2017",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",,,351,311,269
"G0200130","2013-2017",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",,,148,86,76
"G0200160","2013-2017",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",,,156,41,142
"G0200200","2013-2017",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",,,864,1084,1234
"G0200500","2013-2017",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",,,121,124,123
"G0200600","2013-2017",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",,,37,37,31
"G0200680","2013-2017",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",,,210,173,56
"G0200700","2013-2017",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",,,77,60,53
