GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,NAME,TRBL_CTA,TRBL_BGA,AMUFE001,AMUFE002,AMUFE003
"G1303030","2016-2020","GA",,,"Georgia","13","Washington County","303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13303","Washington County, Georgia",,,7719,5147,2572
"G1303050","2016-2020","GA",,,"Georgia","13","Wayne County","305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13305","Wayne County, Georgia",,,10479,6586,3893
"G1303070","2016-2020","GA",,,"Georgia","13","Webster County","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13307","Webster County, Georgia",,,1115,972,143
"G1303090","2016-2020","GA",,,"Georgia","13","Wheeler County","309",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13309","Wheeler County, Georgia",,,1774,1231,543
"G1303110","2016-2020","GA",,,"Georgia","13","White County","311",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13311","White County, Georgia",,,11727,8933,2794
"G1303130","2016-2020","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",,,36412,23988,12424
"G1303150","2016-2020","GA",,,"Georgia","13","Wilcox County","315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13315","Wilcox County, Georgia",,,2542,1946,596
"G1303170","2016-2020","GA",,,"Georgia","13","Wilkes County","317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13317","Wilkes County, Georgia",,,4115,2635,1480
"G1303190","2016-2020","GA",,,"Georgia","13","Wilkinson County","319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13319","Wilkinson County, Georgia",,,3301,2548,753
"G1303210","2016-2020","GA",,,"Georgia","13","Worth County","321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US13321","Worth County, Georgia",,,7982,5552,2430
"G1500010","2016-2020","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",,,71747,49721,22026
"G1500030","2016-2020","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",,,316928,182360,134568
"G1500050","2016-2020","HI",,,"Hawaii","15","Kalawao County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US15005","Kalawao County, Hawaii",,,306,0,306
"G1500070","2016-2020","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,23331,15178,8153
"G1500090","2016-2020","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",,,55620,34778,20842
"G1600010","2016-2020","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",,,179708,126138,53570
"G1600030","2016-2020","ID",,,"Idaho","16","Adams County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16003","Adams County, Idaho",,,1726,1421,305
"G1600050","2016-2020","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",,,31669,21681,9988
"G1600070","2016-2020","ID",,,"Idaho","16","Bear Lake County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16007","Bear Lake County, Idaho",,,2455,1927,528
"G1600090","2016-2020","ID",,,"Idaho","16","Benewah County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16009","Benewah County, Idaho",,,3564,2627,937
"G1600110","2016-2020","ID",,,"Idaho","16","Bingham County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16011","Bingham County, Idaho",,,15612,12216,3396
"G1600130","2016-2020","ID",,,"Idaho","16","Blaine County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16013","Blaine County, Idaho",,,8318,6039,2279
"G1600150","2016-2020","ID",,,"Idaho","16","Boise County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16015","Boise County, Idaho",,,3351,2771,580
"G1600170","2016-2020","ID",,,"Idaho","16","Bonner County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16017","Bonner County, Idaho",,,17998,13706,4292
"G1600190","2016-2020","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",,,40946,28568,12378
"G1600210","2016-2020","ID",,,"Idaho","16","Boundary County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16021","Boundary County, Idaho",,,4596,3505,1091
"G1600230","2016-2020","ID",,,"Idaho","16","Butte County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16023","Butte County, Idaho",,,966,762,204
"G1600250","2016-2020","ID",,,"Idaho","16","Camas County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16025","Camas County, Idaho",,,391,295,96
"G1600270","2016-2020","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",,,75494,54415,21079
"G1600290","2016-2020","ID",,,"Idaho","16","Caribou County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16029","Caribou County, Idaho",,,2562,2000,562
"G1600310","2016-2020","ID",,,"Idaho","16","Cassia County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16031","Cassia County, Idaho",,,7832,5414,2418
"G1600330","2016-2020","ID",,,"Idaho","16","Clark County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16033","Clark County, Idaho",,,332,181,151
"G1600350","2016-2020","ID",,,"Idaho","16","Clearwater County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16035","Clearwater County, Idaho",,,3547,2694,853
"G1600370","2016-2020","ID",,,"Idaho","16","Custer County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16037","Custer County, Idaho",,,1889,1506,383
"G1600390","2016-2020","ID",,,"Idaho","16","Elmore County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16039","Elmore County, Idaho",,,10885,6635,4250
"G1600410","2016-2020","ID",,,"Idaho","16","Franklin County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16041","Franklin County, Idaho",,,4432,3713,719
"G1600430","2016-2020","ID",,,"Idaho","16","Fremont County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16043","Fremont County, Idaho",,,4464,3627,837
"G1600450","2016-2020","ID",,,"Idaho","16","Gem County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16045","Gem County, Idaho",,,6822,5149,1673
"G1600470","2016-2020","ID",,,"Idaho","16","Gooding County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16047","Gooding County, Idaho",,,5615,3912,1703
"G1600490","2016-2020","ID",,,"Idaho","16","Idaho County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16049","Idaho County, Idaho",,,6462,5008,1454
"G1600510","2016-2020","ID",,,"Idaho","16","Jefferson County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16051","Jefferson County, Idaho",,,8825,7162,1663
"G1600530","2016-2020","ID",,,"Idaho","16","Jerome County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16053","Jerome County, Idaho",,,8004,5449,2555
"G1600550","2016-2020","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",,,64475,45958,18517
"G1600570","2016-2020","ID",,,"Idaho","16","Latah County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16057","Latah County, Idaho",,,15737,8720,7017
"G1600590","2016-2020","ID",,,"Idaho","16","Lemhi County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16059","Lemhi County, Idaho",,,3717,2931,786
"G1600610","2016-2020","ID",,,"Idaho","16","Lewis County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16061","Lewis County, Idaho",,,1649,1230,419
"G1600630","2016-2020","ID",,,"Idaho","16","Lincoln County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16063","Lincoln County, Idaho",,,1804,1250,554
"G1600650","2016-2020","ID",,,"Idaho","16","Madison County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16065","Madison County, Idaho",,,11858,4944,6914
"G1600670","2016-2020","ID",,,"Idaho","16","Minidoka County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16067","Minidoka County, Idaho",,,7456,5292,2164
"G1600690","2016-2020","ID",,,"Idaho","16","Nez Perce County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16069","Nez Perce County, Idaho",,,16548,12077,4471
"G1600710","2016-2020","ID",,,"Idaho","16","Oneida County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16071","Oneida County, Idaho",,,1715,1406,309
"G1600730","2016-2020","ID",,,"Idaho","16","Owyhee County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16073","Owyhee County, Idaho",,,4429,3185,1244
"G1600750","2016-2020","ID",,,"Idaho","16","Payette County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16075","Payette County, Idaho",,,9086,6423,2663
"G1600770","2016-2020","ID",,,"Idaho","16","Power County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16077","Power County, Idaho",,,2693,1780,913
"G1600790","2016-2020","ID",,,"Idaho","16","Shoshone County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16079","Shoshone County, Idaho",,,5436,3909,1527
"G1600810","2016-2020","ID",,,"Idaho","16","Teton County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16081","Teton County, Idaho",,,4290,3350,940
"G1600830","2016-2020","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",,,31758,22107,9651
"G1600850","2016-2020","ID",,,"Idaho","16","Valley County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16085","Valley County, Idaho",,,3920,3248,672
"G1600870","2016-2020","ID",,,"Idaho","16","Washington County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US16087","Washington County, Idaho",,,4263,3097,1166
"G1700010","2016-2020","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",,,27199,19474,7725
"G1700030","2016-2020","IL",,,"Illinois","17","Alexander County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17003","Alexander County, Illinois",,,2252,1685,567
"G1700050","2016-2020","IL",,,"Illinois","17","Bond County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17005","Bond County, Illinois",,,6359,4662,1697
"G1700070","2016-2020","IL",,,"Illinois","17","Boone County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17007","Boone County, Illinois",,,18799,15499,3300
"G1700090","2016-2020","IL",,,"Illinois","17","Brown County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17009","Brown County, Illinois",,,2090,1601,489
"G1700110","2016-2020","IL",,,"Illinois","17","Bureau County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17011","Bureau County, Illinois",,,13801,10393,3408
"G1700130","2016-2020","IL",,,"Illinois","17","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17013","Calhoun County, Illinois",,,1661,1473,188
"G1700150","2016-2020","IL",,,"Illinois","17","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17015","Carroll County, Illinois",,,6511,4935,1576
"G1700170","2016-2020","IL",,,"Illinois","17","Cass County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17017","Cass County, Illinois",,,5068,3820,1248
"G1700190","2016-2020","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",,,83059,44088,38971
"G1700210","2016-2020","IL",,,"Illinois","17","Christian County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17021","Christian County, Illinois",,,13977,10329,3648
"G1700230","2016-2020","IL",,,"Illinois","17","Clark County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17023","Clark County, Illinois",,,6726,5243,1483
"G1700250","2016-2020","IL",,,"Illinois","17","Clay County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17025","Clay County, Illinois",,,5607,4164,1443
"G1700270","2016-2020","IL",,,"Illinois","17","Clinton County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17027","Clinton County, Illinois",,,14596,11621,2975
"G1700290","2016-2020","IL",,,"Illinois","17","Coles County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17029","Coles County, Illinois",,,20972,12596,8376
"G1700310","2016-2020","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",,,1991474,1139938,851536
"G1700330","2016-2020","IL",,,"Illinois","17","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17033","Crawford County, Illinois",,,7704,5914,1790
"G1700350","2016-2020","IL",,,"Illinois","17","Cumberland County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17035","Cumberland County, Illinois",,,4229,3432,797
"G1700370","2016-2020","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",,,38616,22375,16241
"G1700390","2016-2020","IL",,,"Illinois","17","De Witt County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17039","De Witt County, Illinois",,,6732,5129,1603
"G1700410","2016-2020","IL",,,"Illinois","17","Douglas County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17041","Douglas County, Illinois",,,7600,5767,1833
"G1700430","2016-2020","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",,,344314,251301,93013
"G1700450","2016-2020","IL",,,"Illinois","17","Edgar County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17045","Edgar County, Illinois",,,7851,5838,2013
"G1700470","2016-2020","IL",,,"Illinois","17","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17047","Edwards County, Illinois",,,2756,2212,544
"G1700490","2016-2020","IL",,,"Illinois","17","Effingham County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17049","Effingham County, Illinois",,,13856,10623,3233
"G1700510","2016-2020","IL",,,"Illinois","17","Fayette County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17051","Fayette County, Illinois",,,7918,6440,1478
"G1700530","2016-2020","IL",,,"Illinois","17","Ford County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17053","Ford County, Illinois",,,5824,4321,1503
"G1700550","2016-2020","IL",,,"Illinois","17","Franklin County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17055","Franklin County, Illinois",,,16207,12155,4052
"G1700570","2016-2020","IL",,,"Illinois","17","Fulton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17057","Fulton County, Illinois",,,14072,11093,2979
"G1700590","2016-2020","IL",,,"Illinois","17","Gallatin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17059","Gallatin County, Illinois",,,2274,1752,522
"G1700610","2016-2020","IL",,,"Illinois","17","Greene County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17061","Greene County, Illinois",,,4984,3865,1119
"G1700630","2016-2020","IL",,,"Illinois","17","Grundy County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17063","Grundy County, Illinois",,,20071,14619,5452
"G1700650","2016-2020","IL",,,"Illinois","17","Hamilton County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17065","Hamilton County, Illinois",,,3366,2616,750
"G1700670","2016-2020","IL",,,"Illinois","17","Hancock County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17067","Hancock County, Illinois",,,7542,6152,1390
"G1700690","2016-2020","IL",,,"Illinois","17","Hardin County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17069","Hardin County, Illinois",,,1515,1194,321
"G1700710","2016-2020","IL",,,"Illinois","17","Henderson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17071","Henderson County, Illinois",,,3028,2517,511
"G1700730","2016-2020","IL",,,"Illinois","17","Henry County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17073","Henry County, Illinois",,,19996,15761,4235
"G1700750","2016-2020","IL",,,"Illinois","17","Iroquois County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17075","Iroquois County, Illinois",,,11845,9041,2804
"G1700770","2016-2020","IL",,,"Illinois","17","Jackson County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17077","Jackson County, Illinois",,,24208,12202,12006
"G1700790","2016-2020","IL",,,"Illinois","17","Jasper County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17079","Jasper County, Illinois",,,3791,3156,635
"G1700810","2016-2020","IL",,,"Illinois","17","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17081","Jefferson County, Illinois",,,14792,10623,4169
"G1700830","2016-2020","IL",,,"Illinois","17","Jersey County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17083","Jersey County, Illinois",,,8158,6695,1463
"G1700850","2016-2020","IL",,,"Illinois","17","Jo Daviess County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17085","Jo Daviess County, Illinois",,,10069,7718,2351
"G1700870","2016-2020","IL",,,"Illinois","17","Johnson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17087","Johnson County, Illinois",,,4174,3478,696
"G1700890","2016-2020","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",,,181845,135623,46222
"G1700910","2016-2020","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",,,40297,27022,13275
"G1700930","2016-2020","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,41398,34563,6835
"G1700950","2016-2020","IL",,,"Illinois","17","Knox County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17095","Knox County, Illinois",,,20428,13584,6844
"G1700970","2016-2020","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",,,248684,182892,65792
"G1700990","2016-2020","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",,,45089,32605,12484
"G1701010","2016-2020","IL",,,"Illinois","17","Lawrence County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17101","Lawrence County, Illinois",,,6166,4406,1760
"G1701030","2016-2020","IL",,,"Illinois","17","Lee County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17103","Lee County, Illinois",,,13634,9485,4149
"G1701050","2016-2020","IL",,,"Illinois","17","Livingston County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17105","Livingston County, Illinois",,,14366,10333,4033
"G1701070","2016-2020","IL",,,"Illinois","17","Logan County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17107","Logan County, Illinois",,,10958,7815,3143
"G1701090","2016-2020","IL",,,"Illinois","17","McDonough County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17109","McDonough County, Illinois",,,11573,7323,4250
"G1701110","2016-2020","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",,,113269,90779,22490
"G1701130","2016-2020","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",,,66225,43005,23220
"G1701150","2016-2020","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",,,43810,30265,13545
"G1701170","2016-2020","IL",,,"Illinois","17","Macoupin County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17117","Macoupin County, Illinois",,,18577,13986,4591
"G1701190","2016-2020","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",,,108429,78424,30005
"G1701210","2016-2020","IL",,,"Illinois","17","Marion County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17121","Marion County, Illinois",,,16126,12022,4104
"G1701230","2016-2020","IL",,,"Illinois","17","Marshall County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17123","Marshall County, Illinois",,,4922,3967,955
"G1701250","2016-2020","IL",,,"Illinois","17","Mason County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17125","Mason County, Illinois",,,5917,4587,1330
"G1701270","2016-2020","IL",,,"Illinois","17","Massac County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17127","Massac County, Illinois",,,5619,4330,1289
"G1701290","2016-2020","IL",,,"Illinois","17","Menard County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17129","Menard County, Illinois",,,5211,4098,1113
"G1701310","2016-2020","IL",,,"Illinois","17","Mercer County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17131","Mercer County, Illinois",,,6477,5098,1379
"G1701330","2016-2020","IL",,,"Illinois","17","Monroe County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17133","Monroe County, Illinois",,,13576,11526,2050
"G1701350","2016-2020","IL",,,"Illinois","17","Montgomery County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17135","Montgomery County, Illinois",,,11619,8875,2744
"G1701370","2016-2020","IL",,,"Illinois","17","Morgan County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17137","Morgan County, Illinois",,,13560,9422,4138
"G1701390","2016-2020","IL",,,"Illinois","17","Moultrie County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17139","Moultrie County, Illinois",,,6043,4604,1439
"G1701410","2016-2020","IL",,,"Illinois","17","Ogle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17141","Ogle County, Illinois",,,20967,15070,5897
"G1701430","2016-2020","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",,,73519,47855,25664
"G1701450","2016-2020","IL",,,"Illinois","17","Perry County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17145","Perry County, Illinois",,,8504,6271,2233
"G1701470","2016-2020","IL",,,"Illinois","17","Piatt County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17147","Piatt County, Illinois",,,6755,5561,1194
"G1701490","2016-2020","IL",,,"Illinois","17","Pike County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17149","Pike County, Illinois",,,6258,4968,1290
"G1701510","2016-2020","IL",,,"Illinois","17","Pope County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17151","Pope County, Illinois",,,1618,1286,332
"G1701530","2016-2020","IL",,,"Illinois","17","Pulaski County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17153","Pulaski County, Illinois",,,2050,1529,521
"G1701550","2016-2020","IL",,,"Illinois","17","Putnam County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17155","Putnam County, Illinois",,,2435,1976,459
"G1701570","2016-2020","IL",,,"Illinois","17","Randolph County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17157","Randolph County, Illinois",,,12047,8848,3199
"G1701590","2016-2020","IL",,,"Illinois","17","Richland County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17159","Richland County, Illinois",,,6527,4776,1751
"G1701610","2016-2020","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",,,60607,41169,19438
"G1701630","2016-2020","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",,,104631,68919,35712
"G1701650","2016-2020","IL",,,"Illinois","17","Saline County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17165","Saline County, Illinois",,,10140,7529,2611
"G1701670","2016-2020","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",,,84093,58861,25232
"G1701690","2016-2020","IL",,,"Illinois","17","Schuyler County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17169","Schuyler County, Illinois",,,2730,2099,631
"G1701710","2016-2020","IL",,,"Illinois","17","Scott County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17171","Scott County, Illinois",,,1973,1628,345
"G1701730","2016-2020","IL",,,"Illinois","17","Shelby County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17173","Shelby County, Illinois",,,9158,7350,1808
"G1701750","2016-2020","IL",,,"Illinois","17","Stark County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US17175","Stark County, Illinois",,,2304,1849,455
